# Nx1 = 128
# x1-size = 1
# Nx2 = 128
# x2-size = 1
# PRIMITIVE vars at Time = 0, level= 0, domain= 0
# [1]=i-zone [2]=j-zone [3]=x1 [4]=x2 [5]=d [6]=V1 [7]=V2 [8]=V3 [9]=P
   4   4 3.90625000e-03 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04993977e+00 0.00000000e+00 1.00000000e+00
   5   4 1.17187500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04945883e+00 0.00000000e+00 1.00000000e+00
   6   4 1.95312500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04850156e+00 0.00000000e+00 1.00000000e+00
   7   4 2.73437500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04707720e+00 0.00000000e+00 1.00000000e+00
   8   4 3.51562500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04519946e+00 0.00000000e+00 1.00000000e+00
   9   4 4.29687500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04288643e+00 0.00000000e+00 1.00000000e+00
  10   4 5.07812500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04016038e+00 0.00000000e+00 1.00000000e+00
  11   4 5.85937500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.03704756e+00 0.00000000e+00 1.00000000e+00
  12   4 6.64062500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.03357795e+00 0.00000000e+00 1.00000000e+00
  13   4 7.42187500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.02978497e+00 0.00000000e+00 1.00000000e+00
  14   4 8.20312500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.02570514e+00 0.00000000e+00 1.00000000e+00
  15   4 8.98437500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.02137775e+00 0.00000000e+00 1.00000000e+00
  16   4 9.76562500e-02 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.01684449e+00 0.00000000e+00 1.00000000e+00
  17   4 1.05468750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.01214901e+00 0.00000000e+00 1.00000000e+00
  18   4 1.13281250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.00733652e+00 0.00000000e+00 1.00000000e+00
  19   4 1.21093750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.00245338e+00 0.00000000e+00 1.00000000e+00
  20   4 1.28906250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.99754662e+00 0.00000000e+00 1.00000000e+00
  21   4 1.36718750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.99266348e+00 0.00000000e+00 1.00000000e+00
  22   4 1.44531250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.98785099e+00 0.00000000e+00 1.00000000e+00
  23   4 1.52343750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.98315551e+00 0.00000000e+00 1.00000000e+00
  24   4 1.60156250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.97862225e+00 0.00000000e+00 1.00000000e+00
  25   4 1.67968750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.97429486e+00 0.00000000e+00 1.00000000e+00
  26   4 1.75781250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.97021503e+00 0.00000000e+00 1.00000000e+00
  27   4 1.83593750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.96642205e+00 0.00000000e+00 1.00000000e+00
  28   4 1.91406250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.96295244e+00 0.00000000e+00 1.00000000e+00
  29   4 1.99218750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95983962e+00 0.00000000e+00 1.00000000e+00
  30   4 2.07031250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95711357e+00 0.00000000e+00 1.00000000e+00
  31   4 2.14843750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95480054e+00 0.00000000e+00 1.00000000e+00
  32   4 2.22656250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95292280e+00 0.00000000e+00 1.00000000e+00
  33   4 2.30468750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95149844e+00 0.00000000e+00 1.00000000e+00
  34   4 2.38281250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95054117e+00 0.00000000e+00 1.00000000e+00
  35   4 2.46093750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95006023e+00 0.00000000e+00 1.00000000e+00
  36   4 2.53906250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95006023e+00 0.00000000e+00 1.00000000e+00
  37   4 2.61718750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95054117e+00 0.00000000e+00 1.00000000e+00
  38   4 2.69531250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95149844e+00 0.00000000e+00 1.00000000e+00
  39   4 2.77343750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95292280e+00 0.00000000e+00 1.00000000e+00
  40   4 2.85156250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95480054e+00 0.00000000e+00 1.00000000e+00
  41   4 2.92968750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95711357e+00 0.00000000e+00 1.00000000e+00
